Time	Fin	pitch rate	Az Demand	Az
1.06	-0.523599	0.0863932	-1.46408	0.00347469
1.065	-0.523599	0.0877025	-1.46597	0.00334619
1.07	-0.523599	0.0890213	-1.46597	0.00321434
1.075	-0.523599	0.0903495	-1.46786	0.00307681
1.08	-0.523599	0.0916875	-1.46786	0.00292754
1.085	-0.523599	0.0930352	-1.46976	0.00277704
1.09	-0.523599	0.0943925	-1.46976	0.00262281
1.095	-0.523599	0.0957594	-1.49064	0.00245522
1.1	-0.523599	0.097136	-1.49064	0.00228962
1.105	-0.523599	0.0985223	-1.49256	0.00211006
1.11	-0.523599	0.0999182	-1.49256	0.0019327
1.115	-0.523599	0.101324	-1.49448	0.00173891
1.12	-0.523599	0.102739	-1.49448	0.00154964
1.125	-0.523599	0.104163	-1.49639	0.00134853
1.13	-0.523599	0.105597	-1.49639	0.00114603
1.135	-0.523599	0.107039	-1.51596	0.000935548
1.14	-0.523599	0.10849	-1.51596	0.000720825
1.145	-0.523599	0.109951	-1.5179	0.000494945
1.15	-0.523599	0.11142	-1.5179	0.000249271
1.155	-0.523599	0.112899	-1.51984	1.20501e-005
1.16	-0.523599	0.114386	-1.51984	-0.000233634
1.165	-0.523599	0.115883	-1.52178	-0.000496433
1.17	-0.523599	0.117388	-1.52178	-0.000758274
1.175	-0.523599	0.118901	-1.54146	-0.0010245
1.18	-0.523599	0.120423	-1.54146	-0.00130243
1.185	-0.523599	0.121952	-1.54342	-0.00158568
1.19	-0.523599	0.12349	-1.54342	-0.0018818
1.195	-0.523599	0.125035	-1.54539	-0.00218421
1.2	-0.523599	0.126588	-1.54539	-0.00250039
1.205	-0.523599	0.12815	-1.54735	-0.0028293
1.21	-0.523599	0.129719	-1.54735	-0.00316134
1.215	-0.523599	0.131296	-1.56706	-0.00350325
1.22	-0.523599	0.132881	-1.56706	-0.00386278
1.225	-0.523599	0.134474	-1.56905	-0.00422757
1.23	-0.523599	0.136075	-1.56905	-0.00460138
1.235	-0.523599	0.137684	-1.57103	-0.00499148
1.24	-0.523599	0.139301	-1.57103	-0.00538214
1.245	-0.523599	0.140925	-1.57302	-0.00577789
1.25	-0.523599	0.142556	-1.57302	-0.00618596
1.255	-0.523599	0.144193	-1.59276	-0.00661089
1.26	-0.523599	0.145838	-1.59276	-0.00704369
1.265	-0.523599	0.147489	-1.59477	-0.0074906
1.27	-0.523599	0.149148	-1.59477	-0.00794334
1.275	-0.523599	0.150812	-1.59678	-0.00840809
1.28	-0.523599	0.152484	-1.59678	-0.00888951
1.285	-0.523599	0.154162	-1.59878	-0.00937927
1.29	-0.523021	0.155846	-1.59878	-0.009884
1.295	-0.521578	0.157537	-1.61857	-0.010394
1.3	-0.519579	0.159234	-1.61857	-0.0109154
1.305	-0.517215	0.160936	-1.62059	-0.0114519
